case_id,alert_id,customer_id,investigation_findings,recommendation,analyst_decision,investigation_status,risk_level,escalation_required
CASE1143,ALT00144,CUST-504667,Multiple transactions in short timeframe raises concern,Escalate for Review,Enhanced Due Diligence,Open,Medium,Yes
CASE1144,ALT00145,CUST-458611,Multiple transactions in short timeframe raises concern,Escalate for Review,Review Required,Open,Medium,Yes
CASE1145,ALT00146,CUST-533101,Unusual frequency compared to customer baseline,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1146,ALT00147,CUST-908870,Multiple transactions in short timeframe raises concern,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1147,ALT00148,CUST-908246,Rapid transaction pattern may indicate structuring behavior,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1148,ALT00149,CUST-847606,Multiple transactions in short timeframe raises concern,Monitor Activity,Monitor,Closed,Medium,No
CASE1149,ALT00150,CUST-543145,Rapid transaction pattern may indicate structuring behavior,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1150,ALT00151,CUST-512847,Unusual frequency compared to customer baseline,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1151,ALT00152,CUST-273718,Unusual frequency compared to customer baseline,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1152,ALT00153,CUST-485944,Unusual frequency compared to customer baseline,Monitor Activity,Monitor,Closed,Medium,No
CASE1153,ALT00154,CUST-455553,Rapid transaction pattern may indicate structuring behavior,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1154,ALT00155,CUST-363340,Rapid transaction pattern may indicate structuring behavior,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1155,ALT00156,CUST-947735,Unusual frequency compared to customer baseline,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1156,ALT00157,CUST-786820,Multiple transactions in short timeframe raises concern,Monitor Activity,Monitor,Closed,Medium,No
CASE1157,ALT00158,CUST-464885,Rapid transaction pattern may indicate structuring behavior,Monitor Activity,Monitor,Closed,Medium,No
CASE1158,ALT00159,CUST-115970,Rapid transaction pattern may indicate structuring behavior,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
CASE1159,ALT00160,CUST-978764,Multiple transactions in short timeframe raises concern,Enhanced Due Diligence Required,Monitor,Closed,Medium,No
